nome,data_nascimento,genero,salario_bruto,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_gab,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_par,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao
PEDRO FRANCISCO UCZAI,10/03/1963,masculino,33763.0,32367.32,27996.85,29187.49,18046.24,52327.88,47932.03,39574.89,34048.81,9759.62,19368.58,973.69,,311583.4,111168.36,111574.57,111623.31,111623.31,111395.97,110426.54,111623.3,111623.3,111623.3,111623.3,,,1114305.2600000002,82,10,1,48,43,31
DARCI POMPEO DE MATTOS,12/07/1958,masculino,33763.0,41231.74,59462.92,49369.15,33109.82,73003.33,28978.11,25956.45,17821.83,16082.73,12802.87,562.0,,358380.95,111204.69,111204.69,110681.07,110983.29,111198.62,111016.67,111016.67,111100.61,111392.73,111412.1,,,1111211.1400000001,89,3,1,65,54,43
PEDRO BANDARRA WESTPHALEN,19/12/1950,masculino,33763.0,36518.28,54324.72,62114.31,50504.82,44251.67,34167.19,35224.3,25574.63,8729.07,24373.16,5886.32,,381668.47,111526.25,111526.25,111526.25,111526.25,111526.25,111526.25,111526.25,111526.25,111526.25,111526.25,,,1115262.5,91,1,1,75,3,1
ANTÔNIO PINHEIRO NETO,30/05/1991,masculino,33763.0,34997.43,48213.22,38778.05,35564.82,34383.72,26281.37,23988.24,21895.37,8254.43,22120.56,843.42,,295320.62999999995,111556.62,111556.62,111556.62,107672.88,108716.69,110221.78,111520.27,111520.27,111520.27,111520.27,,,1107362.29,91,1,0,20,5,1
JOZIEL FERREIRA CARLOS,22/04/1966,masculino,33763.0,26284.98,21925.42,46651.94,55224.11,45817.36,25815.11,24873.87,32404.12,21329.86,35691.44,1569.53,,337587.74,110786.15,110786.15,110786.15,110786.15,111298.81,110023.45,111617.14,111033.65,111084.56,95020.46,,,1093222.67,88,4,4,35,42,42
ALCIDES RIBEIRO FILHO,25/10/1953,masculino,33763.0,33108.61,33113.89,48105.19,48107.0,48112.75,33107.36,36344.43,15569.34,12097.38,31074.94,3065.72,,341806.61,111586.87,111586.87,110799.1,108381.81,111671.93,110344.32,111671.93,111029.15,110343.52,110343.52,,,1107759.0199999998,85,7,7,37,24,24
ISRAEL MATOS BATISTA,02/05/1982,masculino,33763.0,24294.73,25264.69,33230.03,31069.74,44260.36,16543.25,15516.55,11331.89,12985.33,54311.47,0.0,,268808.04,108657.06,109957.54,111581.39,106242.06,110968.15,108128.74,109508.43,111653.58,108724.61,111653.6,,,1097075.16,89,3,0,55,14,14
RAUL JEAN LOUIS HENRY JÚNIOR,06/06/1964,masculino,33763.0,38165.25,29302.36,32016.22,39228.39,44657.47,34719.45,33058.24,17205.35,5575.16,15158.34,4925.38,,294011.61,111611.04,111611.04,111611.04,111611.04,111611.04,111611.04,111611.04,111611.04,111611.04,111611.04,,,1116110.4000000001,86,6,0,36,27,21
RAFAEL HUETE DA MOTTA,15/08/1986,masculino,33763.0,22061.25,20987.07,32044.73,47323.12,38481.01,19788.15,28425.17,12569.51,12955.13,20480.35,3330.56,,258446.05000000002,111611.09,111611.06,111611.06,111611.06,111611.06,111611.06,111611.06,111611.06,111611.06,111611.06,,,1116110.6300000001,80,12,7,27,25,21
RAIMUNDO MAGALHÃES COSTA,09/03/1961,masculino,33763.0,31247.01,33852.56,35730.14,54251.36,59847.83,39948.97,38881.38,37224.96,30425.51,23741.54,582.68,,385733.94,109381.85,111443.89,110344.94,107265.94,110092.7,110034.01,111291.2,110355.3,111665.71,111572.77,,,1103448.3099999998,77,15,5,25,21,13
RICARDO JOSÉ MAGALHÃES BARROS,15/11/1959,masculino,33763.0,31383.94,29984.02,33975.37,38325.55,31338.43,31141.41,40542.02,28929.56,8765.2,14824.02,0.0,,289209.52,110792.29,109833.02,109637.04,109134.1,106128.07,104534.79,103324.87,103658.88,103658.88,105536.16,,,1066238.1,85,7,0,27,16,12
REGINALDO LÁZARO DE OLIVEIRA LOPES,02/04/1973,masculino,33763.0,22866.69,27219.1,59587.46,50048.57,49989.97,35479.55,19697.6,15557.4,2969.06,1377.71,52.32,,284845.43000000005,108026.25,109022.78,111193.01,111289.68,111289.68,111083.64,105108.61,107364.31,111138.02,109639.57,,,1095155.55,77,15,0,4,60,55
RENILDO VASCONCELOS CALHEIROS,20/04/1959,masculino,33763.0,25389.44,33981.63,32409.64,32538.33,33726.63,37650.53,30620.56,25957.77,19988.78,9601.72,1528.07,,283393.0999999999,110852.8,110852.8,109867.21,107453.52,108361.91,110816.41,110388.48,110325.08,110325.08,110325.08,,,1099568.3699999999,74,18,0,5,64,50
RICARDO IZAR JUNIOR,01/08/1968,masculino,33763.0,21993.12,26040.58,36284.07,34496.42,82039.32,25193.31,14757.52,10691.35,11857.99,54744.62,0.0,,318098.3,111574.72,111565.62,111631.28,111653.59,111355.92,111556.47,111563.15,111599.55,111580.77,111624.79,,,1115705.86,82,10,8,10,10,9
RICARDO CORREA DE BARROS,27/10/1959,masculino,33763.0,34114.07,35083.65,35897.1,47538.24,47361.51,22483.72,14839.35,3821.91,2615.91,4320.06,530.04,,248605.56000000003,111449.81,111363.0,111585.6,110962.81,111421.42,111065.11,110412.97,111435.17,110878.73,111477.81,,,1112052.43,82,10,2,16,11,8
RICARDO ZANATTA GUIDI,28/09/1977,masculino,33763.0,20891.82,27553.59,25787.02,36603.04,34612.26,34669.08,20256.07,1117.85,489.75,9491.3,615.97,,212087.75,111665.83,111665.83,111665.83,110702.58,111665.83,111665.83,111665.83,111665.83,111665.83,111665.83,,,1115695.0499999998,92,0,0,27,13,11
GILDENEMIR DE LIMA SOUSA,08/11/1971,masculino,33763.0,21687.15,23939.17,27502.58,30200.89,41443.63,96284.55,18286.41,23625.66,20193.95,13109.66,0.0,,316273.64999999997,111416.98,111416.98,111416.98,111416.98,111211.51,111113.67,111113.67,109524.41,111604.98,111604.98,,,1111841.1400000001,74,18,14,12,21,18
JOÃO CARLOS SIQUEIRA,28/02/1967,masculino,33763.0,18732.03,37477.94,36322.55,44831.86,54192.78,54866.82,25266.73,20811.94,30550.84,16502.99,0.0,,339556.48000000004,111635.71,111635.71,111635.71,111621.16,111599.34,111599.34,111599.34,110786.91,111599.34,111650.98,,,1115363.54,89,3,3,104,16,16
FRANCISCO EURICO DA SILVA,12/09/1962,masculino,33763.0,14408.85,34580.27,34975.76,61812.66,34367.09,44384.17,39009.4,33133.99,26233.24,21210.64,176.91,,344292.98,111617.15,111617.14,111617.12,111617.12,111617.12,111160.97,110300.06,109687.41,110073.19,110009.89,,,1109317.17,86,6,3,36,4,2
